☆央卫☆,#genre#
CCTV5 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225711/index.m3u8
CCTV5+ 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225689/index.m3u8
CCTV6 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225607/index.m3u8
CCTV7 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225733/index.m3u8
CCTV8 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225608/index.m3u8
CCTV9 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225734/index.m3u8
CCTV10 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225730/index.m3u8
CCTV12 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225731/index.m3u8
CCTV14 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225732/index.m3u8
CCTV17 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225765/index.m3u8
东方卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225735/index.m3u8
北京卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225728/index.m3u8
天津卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225740/index.m3u8
安徽卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225727/index.m3u8
山东卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225737/index.m3u8
广东卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225736/index.m3u8
江苏卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225613/index.m3u8
江西卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225615/index.m3u8
浙江卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225612/index.m3u8
深圳卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225739/index.m3u8
湖北卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225627/index.m3u8
湖北卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225705/index.m3u8
湖南卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225610/index.m3u8
北京冬奥纪实 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225729/index.m3u8
上海纪实人文 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225738/index.m3u8
NewTV吉林 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225794/index.m3u8
NewTV四川 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225793/index.m3u8
NewTV安徽 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225790/index.m3u8
NewTV山东 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225788/index.m3u8
NewTV广东 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225791/index.m3u8
NewTV江西 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225789/index.m3u8
NewTV云南 4M720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225795/index.m3u8
NewTV广西 4M720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225792/index.m3u8
NewTV东北热剧 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225498/index.m3u8
NewTV东北热剧 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225741/index.m3u8
NewTV中国功夫 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225681/index.m3u8
NewTV农业致富 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225683/index.m3u8
NewTV惊悚悬疑 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225665/index.m3u8
NewTV搏击 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225680/index.m3u8
NewTV欢乐剧场 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225742/index.m3u8
NewTV潮妈辣婆 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225685/index.m3u8
NewTV炫舞未来 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225719/index.m3u8
NewTV爱情喜剧 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225669/index.m3u8
NewTV精品纪录 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225672/index.m3u8
NewTV超级体育 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225715/index.m3u8
NewTV超级电影 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225717/index.m3u8
NewTV超级电视剧 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225716/index.m3u8
NewTV超级综艺 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225714/index.m3u8
NewTV金牌综艺 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225666/index.m3u8
NewTV明星大片 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225664/index.m3u8
NewTV海外剧场 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225671/index.m3u8
NewTV动作电影 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225661/index.m3u8
NewTV家庭剧场 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225677/index.m3u8
NewTV精品大剧 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225670/index.m3u8
NewTV军事评论 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225668/index.m3u8
NewTV军旅剧场 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225676/index.m3u8
NewTV古装剧场 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225663/index.m3u8
NewTV怡伴健康 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225673/index.m3u8
黑莓动画 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225662/index.m3u8
黑莓动画 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225744/index.m3u8
黑莓电影 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225667/index.m3u8
黑莓电影 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225743/index.m3u8
黑莓电竞 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225675/index.m3u8
黑莓电竞 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225712/index.m3u8
黑莓电竞 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225713/index.m3u8
哈尔滨新闻综合 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225745/index.m3u8
大庆教育 1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225784/index.m3u8
大庆新闻综合 1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225768/index.m3u8
央广购物 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225709/index.m3u8
江苏好享购物 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225757/index.m3u8
江西风尚购物 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225679/index.m3u8
CCTV1 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225587/index.m3u8
CCTV1 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225755/index.m3u8
CCTV1 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225764/index.m3u8
CCTV1 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225766/index.m3u8
CCTV1 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225767/index.m3u8
CCTV1 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225769/index.m3u8
CCTV2 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225588/index.m3u8
CCTV2 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225746/index.m3u8
CCTV3 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225754/index.m3u8
CCTV3 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225785/index.m3u8
CCTV4 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225590/index.m3u8
CCTV5 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225591/index.m3u8
CCTV5 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225753/index.m3u8
CCTV5+ 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225603/index.m3u8
CCTV5+ 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225752/index.m3u8
CCTV6 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225751/index.m3u8
CCTV6 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225786/index.m3u8
CCTV7 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225593/index.m3u8
CCTV8 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225750/index.m3u8
CCTV8 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225787/index.m3u8
CCTV9 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225595/index.m3u8
CCTV10 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225596/index.m3u8
CCTV11 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225597/index.m3u8
CCTV12 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225598/index.m3u8
CCTV13 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225599/index.m3u8
CCTV14 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225600/index.m3u8
CCTV14 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225678/index.m3u8
CCTV15 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225601/index.m3u8
CGTN 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225604/index.m3u8
CGTN纪录 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225602/index.m3u8
中国教育1 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225652/index.m3u8
中国教育4 4M576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225783/index.m3u8
东南卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225620/index.m3u8
东方卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225647/index.m3u8
东方卫视 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225700/index.m3u8
云南卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225636/index.m3u8
北京卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225651/index.m3u8
北京卫视 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225701/index.m3u8
北京卫视 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225749/index.m3u8
吉林卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225637/index.m3u8
四川卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225621/index.m3u8
天津卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225648/index.m3u8
宁夏卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225632/index.m3u8
安徽卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225631/index.m3u8
山东卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225650/index.m3u8
山西卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225624/index.m3u8
广东卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225641/index.m3u8
广东卫视 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225699/index.m3u8
广西卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225622/index.m3u8
新疆卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225635/index.m3u8
江苏卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225644/index.m3u8
河北卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225623/index.m3u8
浙江卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225643/index.m3u8
海南卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225639/index.m3u8
深圳卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225645/index.m3u8
甘肃卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225633/index.m3u8
西藏卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225638/index.m3u8
贵州卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225626/index.m3u8
辽宁卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225619/index.m3u8
重庆卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225618/index.m3u8
陕西卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225625/index.m3u8
青海卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225628/index.m3u8
黑龙江卫视 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225640/index.m3u8
黑龙江卫视 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225658/index.m3u8
内蒙古卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225634/index.m3u8
四川康巴卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225660/index.m3u8
山东教育卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225655/index.m3u8
青海安多卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225659/index.m3u8
哈尔滨娱乐 4M576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225759/index.m3u8
哈尔滨影视 4M576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225760/index.m3u8
哈尔滨生活 4M576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225762/index.m3u8
哈尔滨资讯 4M576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225761/index.m3u8
上海纪实人文 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225748/index.m3u8
北京冬奥纪实 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225756/index.m3u8
上海哈哈炫动 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225657/index.m3u8
北京卡酷少儿 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225654/index.m3u8
湖南金鹰卡通 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225653/index.m3u8
江苏优漫卡通 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225656/index.m3u8
北京家有购物 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225682/index.m3u8
聚鲨环球精选 4M576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225708/index.m3u8
未知 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225758/index.m3u8
☆四川☆,#genre#
CCTV1 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-1/index.m3u8?IAS
CCTV2 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-2/index.m3u8?IAS
CCTV3 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-3/index.m3u8?IAS
CCTV4 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-4/index.m3u8?IAS
CCTV5 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-5/index.m3u8?IAS
CCTV5+ 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/hdcctv05plus/index.m3u8?IAS
CCTV6 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-6/index.m3u8?IAS
CCTV7 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-7/index.m3u8?IAS
CCTV8 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-8/index.m3u8?IAS
CCTV9 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-news/index.m3u8?IAS
CCTV10 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-10/index.m3u8?IAS
CCTV11 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-11/index.m3u8?IAS
CCTV12 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-12/index.m3u8?IAS
CCTV13 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-13/index.m3u8?IAS
CCTV14 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-14/index.m3u8?IAS
CCTV15 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-15/index.m3u8?IAS
CCTV17 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-17/index.m3u8?IAS
中国教育1 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/jiaoyutv/index.m3u8?IAS
东南卫视 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/dongnanstv/index.m3u8?IAS
东方卫视 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/dongfangstv/index.m3u8?IAS
北京卫视 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/beijingstv/index.m3u8?IAS
吉林卫视 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/jilinstv/index.m3u8?IAS
四川卫视 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/sichuanstv/index.m3u8?IAS
天津卫视 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/tianjinstv/index.m3u8?IAS
安徽卫视 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/anhuistv/index.m3u8?IAS
山东卫视 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/shandongstv/index.m3u8?IAS
广东卫视 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/guangdongstv/index.m3u8?IAS
江苏卫视 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/jiangsustv/index.m3u8?IAS
河北卫视 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/hebeistv/index.m3u8?IAS
河南卫视 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/henanstv/index.m3u8?IAS
浙江卫视 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/zhejiangstv/index.m3u8?IAS
湖北卫视 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/hubeistv/index.m3u8?IAS
湖南卫视 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/hunanstv/index.m3u8?IAS
贵州卫视 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/guizhoustv/index.m3u8?IAS
辽宁卫视 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/liaoningstv/index.m3u8?IAS
重庆卫视 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/chongqingstv/index.m3u8?IAS
黑龙江卫视 8M1080,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/hljtv1/index.m3u8?IAS
